DATE',ID_CAMS',0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-01-01',6192,11.714356,11.732362,11.612226,10.763933,10.951051,11.699828,13.004950,12.379587,11.886552,10.211176,7.8187442,7.0667582,6.8709097,7.5156732,7.6674256,7.5965753,8.0750132,7.8374243,7.3323016,7.1808429,6.6068735,6.0576415,6.1773286,6.0589895
2019-01-01',6193,13.346999,13.686141,13.548043,12.896982,12.974633,13.672379,15.475791,15.566513,15.420535,13.357459,11.336244,8.9933519,8.1763182,8.7062302,8.3486090,8.4118519,8.7827988,8.7859707,8.1894150,7.8360486,7.2632446,7.1480117,6.5216861,6.3369536
2019-01-01',6194,12.358634,12.547952,13.980294,13.308074,13.012832,13.836046,14.479198,15.597777,15.641059,13.737159,11.552589,9.2355900,8.0265360,8.7353344,8.6767378,8.1030779,8.5012817,8.8355665,8.5354204,7.8509417,7.9416709,6.7372046,6.6591902,6.5305624
2019-01-01',6377,11.799749,12.341723,12.012091,11.372783,11.227167,12.694758,13.512632,13.325547,12.718966,11.791508,9.7297068,8.5745010,7.3066998,8.0823736,7.7015886,7.6425047,8.5104618,8.2226524,7.5736017,7.6381197,7.0704317,6.6765528,6.7454219,6.4014139
2019-01-01',6378,12.193746,13.320908,13.704476,12.667178,13.811369,14.089795,15.557291,15.367334,14.470057,13.379785,10.857678,9.3584852,8.5361090,8.4740248,8.4450150,8.6429205,8.7119713,8.3123226,8.6682634,8.4070978,7.9273038,7.7061005,6.9039011,6.5726833
2019-01-01',6379,12.314382,12.376739,13.662313,13.166192,13.311147,14.385381,14.631723,15.204421,14.994153,13.694469,12.184404,9.9773970,8.6935654,8.2852478,8.1926308,8.3070898,8.3266306,8.1208458,8.5581017,8.6015024,8.3995733,7.7240629,6.8320513,6.5444889
2019-01-01',6562,11.799749,12.341723,12.012091,11.372783,11.227167,12.694758,13.512632,13.325547,12.718966,11.791508,9.7297068,8.5745010,7.3066998,8.0823736,7.7015886,7.6425047,8.5104618,8.2226524,7.5736017,7.6381197,7.0704317,6.6765528,6.7454219,6.4014139
2019-01-01',6563,12.193746,13.320908,13.704476,12.667178,13.811369,14.089795,15.557291,15.367334,14.470057,13.379785,10.857678,9.3584852,8.5361090,8.4740248,8.4450150,8.6429205,8.7119713,8.3123226,8.6682634,8.4070978,7.9273038,7.7061005,6.9039011,6.5726833
2019-01-01',6564,12.314382,12.376739,13.662313,13.166192,13.311147,14.385381,14.631723,15.204421,14.994153,13.694469,12.184404,9.9773970,8.6935654,8.2852478,8.1926308,8.3070898,8.3266306,8.1208458,8.5581017,8.6015024,8.3995733,7.7240629,6.8320513,6.5444889
2019-01-01',6747,12.082233,12.821424,12.308928,11.782681,11.838092,12.542631,12.495250,12.476135,11.988983,11.024577,9.3635206,8.1574125,7.9319487,7.0081468,7.1539307,7.4274373,7.6578956,7.1551328,7.7071838,7.5881262,7.5411806,7.2718740,6.8916230,6.4311290
2019-01-01',6748,11.430424,12.382537,12.639927,12.048309,11.973379,12.248481,13.342387,13.147968,12.565404,11.871913,10.363767,8.7883463,8.0979033,7.8279428,7.7294703,7.8564916,7.8174834,7.2693596,8.0729427,7.9165959,7.8059573,7.4774766,6.7184777,6.2337828
2019-01-01',6749,11.662956,11.817740,12.929714,12.327695,10.870617,11.108273,12.652208,13.028881,12.846978,12.564322,11.194817,9.2820597,8.6268024,8.2023983,8.4484253,8.3589306,8.1589422,7.6039968,7.7825866,8.0489559,7.9197292,7.2168493,6.3370585,6.1794262
2019-01-02',6192,5.8953447,5.6038895,5.3072109,4.5562506,4.6053066,5.3903298,6.5839148,7.2799211,7.5975919,7.3510704,6.9305353,6.7413297,7.4772120,7.5457363,8.1114702,7.7842150,7.5308042,7.5702558,7.6356220,7.3937330,7.5098267,8.1511755,7.9762826,7.5556417
2019-01-02',6193,6.0244932,5.9494977,5.9435730,5.4850717,5.5685329,6.2040577,7.3943458,8.4461918,8.7893286,8.9362774,8.6732264,8.3816462,9.4793510,10.720442,10.152973,10.732285,10.758857,10.659923,10.598330,10.576595,11.335090,10.453590,9.4243689,9.1129522
2019-01-02',6194,6.1358495,6.1786904,5.9079604,5.6245656,5.6004786,6.3459392,7.3831620,8.4276752,8.3361015,8.3966055,8.3043699,8.1140556,8.1489305,9.0567484,9.6469250,10.078074,9.8074970,9.7334032,10.065834,10.422635,10.525725,9.8177395,9.1311417,9.2765188
2019-01-02',6377,6.1024256,6.0463872,5.9947886,5.2975311,4.7469749,5.4869356,6.5902386,7.8441205,8.8766403,8.1350260,6.7598772,7.1236300,8.7173643,9.2150002,9.0245752,8.5381575,8.2340708,8.0050507,7.7785830,7.5145535,7.9158587,7.9043899,7.3222990,7.8684506
2019-01-02',6378,6.0716162,6.3314853,6.0014963,6.0429330,5.9068646,6.9852428,8.2401762,9.1729488,9.1837511,8.8768330,8.6246109,8.4784079,8.4779406,9.1318951,10.460895,10.405407,10.225978,10.548765,10.586407,9.3941956,9.6311941,9.4648552,8.4615269,8.6180162
